,MCC,aINS_l,aINS_r,PCC,mPFC,LPC_l,LPC_r,dlPFC_l,dlPFC_r,PPC_l,PPC_r
MCC,   0.00,  56.26,  58.77,  81.56,  50.99, 105.46,  99.67,  46.31,  44.10,  90.04,  88.65
aINS_l,  56.26,   0.00,  90.99,  94.98,  61.46,  96.45, 124.71,  32.40,  92.73,  84.63, 123.16
aINS_r,  58.77,  90.99,   0.00,  95.67,  61.04, 129.51,  85.85,  96.24,  40.30, 125.20,  79.80
PCC,  81.56,  94.98,  95.67,   0.00, 122.72,  43.91,  47.17, 105.14, 107.45,  47.29,  50.45
mPFC,  50.99,  61.46,  61.04, 122.72,   0.00, 142.56, 133.67,  57.85,  53.42, 130.76, 126.59
LPC_l, 105.46,  96.45, 129.51,  43.91, 142.56,   0.00,  86.65, 111.03, 140.65,  26.91,  93.88
LPC_r,  99.67, 124.71,  85.85,  47.17, 133.67,  86.65,   0.00, 135.31, 106.48,  94.44,  23.30
dlPFC_l,  46.31,  32.40,  96.24, 105.14,  57.85, 111.03, 135.31,   0.00,  83.78,  92.46, 128.19
dlPFC_r,  44.10,  92.73,  40.30, 107.45,  53.42, 140.65, 106.48,  83.78,   0.00, 128.75,  92.51
PPC_l,  90.04,  84.63, 125.20,  47.29, 130.76,  26.91,  94.44,  92.46, 128.75,   0.00,  95.26
PPC_r,  88.65, 123.16,  79.80,  50.45, 126.59,  93.88,  23.30, 128.19,  92.51,  95.26,   0.00
